Seed:42 | Fold:0 | Ep:1 | TrL:0.6889 | ValL:0.6328 | AUCs:0.4654,0.7908,0.5051,0.7223 | MeanAUC:0.6209 | LR:0.000013
Seed:42 | Fold:0 | Ep:2 | TrL:0.5645 | ValL:0.5450 | AUCs:0.7981,0.9933,0.7339,0.7905 | MeanAUC:0.8290 | LR:0.000026
Seed:42 | Fold:0 | Ep:3 | TrL:0.4726 | ValL:0.4656 | AUCs:0.8976,0.9858,0.7934,0.8402 | MeanAUC:0.8792 | LR:0.000048
Seed:42 | Fold:0 | Ep:4 | TrL:0.3965 | ValL:0.3613 | AUCs:0.9428,0.9869,0.8132,0.9105 | MeanAUC:0.9134 | LR:0.000075
Seed:42 | Fold:0 | Ep:5 | TrL:0.3037 | ValL:0.2762 | AUCs:0.9773,0.9866,0.8864,0.9474 | MeanAUC:0.9494 | LR:0.000105
Seed:42 | Fold:0 | Ep:6 | TrL:0.2780 | ValL:0.1785 | AUCs:0.9943,0.9995,0.9572,0.9650 | MeanAUC:0.9790 | LR:0.000134
Seed:42 | Fold:0 | Ep:7 | TrL:0.1850 | ValL:0.3119 | AUCs:0.9962,1.0000,0.7783,0.9712 | MeanAUC:0.9364 | LR:0.000161
Seed:42 | Fold:0 | Ep:8 | TrL:0.1461 | ValL:0.1119 | AUCs:0.9992,1.0000,0.9810,0.9809 | MeanAUC:0.9903 | LR:0.000182
Seed:42 | Fold:0 | Ep:9 | TrL:0.1669 | ValL:0.1028 | AUCs:0.9993,1.0000,0.9865,0.9829 | MeanAUC:0.9922 | LR:0.000196
Seed:42 | Fold:0 | Ep:10 | TrL:0.1304 | ValL:0.1159 | AUCs:0.9996,1.0000,0.9840,0.9837 | MeanAUC:0.9918 | LR:0.000200
Seed:42 | Fold:0 | Ep:11 | TrL:0.1412 | ValL:0.0785 | AUCs:0.9997,1.0000,0.9870,0.9944 | MeanAUC:0.9953 | LR:0.000200
Seed:42 | Fold:0 | Ep:12 | TrL:0.1076 | ValL:0.1254 | AUCs:0.9991,1.0000,0.9795,0.9907 | MeanAUC:0.9923 | LR:0.000200
Seed:42 | Fold:0 | Ep:13 | TrL:0.1160 | ValL:0.1608 | AUCs:0.9995,1.0000,0.9861,0.9876 | MeanAUC:0.9933 | LR:0.000199
Seed:42 | Fold:0 | Ep:14 | TrL:0.1147 | ValL:0.1442 | AUCs:0.9977,1.0000,0.9641,0.9838 | MeanAUC:0.9864 | LR:0.000199
Seed:42 | Fold:0 | Ep:15 | TrL:0.0775 | ValL:0.1022 | AUCs:1.0000,1.0000,0.9678,0.9916 | MeanAUC:0.9899 | LR:0.000198
